Номер;Район;Число комнат;Тип дома;Общая;Жилая;Кухня;Цена, тыс. руб.
1;ЮМР;1;блочный;40;20;10;1596
2;ЮМР;2;блочный;60;32;10;1876
3;ЮМР;2;блочный;77;40;16;3500
4;ЮМР;3;блочный;66;42;9;2074,8
5;ЮМР;3;блочный;70;44;10;2156
6;СМР;3;кирпичный;77;46;10;2828
7;СМР;3;блочный;70;34;12;2436
8;ГМР;3;кирпичный;75;42;15;2489,2
9;ГМР;3;блочный;75;42;15;2489,2
10;СМР;3;кирпичный;72;42;9;2156
11;ЮМР;3;кирпичный;64;42;8;1970,36
12;ЮМР;3;блочный;67;42;12;2592,8
13;ЮМР;3;блочный;72;42;9;2178,4
14;ЮМР;3;блочный;74;43;12;2800
15;ЮМР;3;блочный;70;50;9;3248
16;ЮМР;3;блочный;70;40;8;2576
17;ЮМР;3;блочный;70;50;9;3164
18;ЮМР;3;блочный;70;44;9;2128
19;ЮМР;3;блочный;75;42;15;2540,72
20;СМР;3;кирпичный;72;43;10;2937,2
21;СМР;3;блочный;64;42;9;2903,6
22;СМР;4;блочный;123;70;26;3827,6
23;СМР;4;блочный;80;52;9;2520
24;СМР;4;кирпичный;88;54;9;2520
25;СМР;4;блочный;87;56;10;2380
26;СМР;4;блочный;78;56;10;2240
27;СМР;4;блочный;117;63;15;3304
28;СМР;4;блочный;91;56;10;3424,4
29;СМР;4;кирпичный;100;73;8;2702
30;ЮМР;4;блочный;95;61;15;2800
31;ЮМР;4;блочный;100;73;8;2688
32;ЮМР;4;кирпичный;100;73;8;2702
33;ЮМР;4;блочный;87;56;10;2380
34;ЮМР;4;блочный;97;56;12;2800
35;ЮМР;4;блочный;100;62;15;3360
36;ЮМР;4;блочный;100;66;10;2592,8
37;ЮМР;4;блочный;75;53;10;3059,28
38;ЮМР;5;блочный;150;100;20;4354
39;ЮМР;5;кирпичный;130;90;15;5180
40;Центр;1;блочный;37;17;8;1344
41;Центр;2;кирпичный;35;23;5;2436
42;Центр;2;блочный;36;24;4;1960
43;Центр;2;блочный;45;26;8;2100
44;Центр;2;блочный;38;33;5;1540
45;СМР;2;кирпичный;45;21;12;2240
46;СМР;2;блочный;80;41;15;1764
47;СМР;2;блочный;91;60;12;3007,2
48;СМР;2;блочный;50;30;7;1484
49;Центр;2;блочный;65;45;16;2380
50;Центр;3;блочный;61;36;10;2380
51;Центр;3;блочный;54;35;7;1960
52;Центр;3;блочный;52;36;7;1540
53;ГМР;3;блочный;60;40;9;3640
54;ГМР;3;блочный;62;33;8;3110,8
55;ГМР;3;кирпичный;53;38;6;1820
56;ГМР;3;блочный;63;37;7;2436
57;ГМР;3;блочный;51;29;8;1348,2
58;ГМР;3;блочный;60;40;12;1680
59;ГМР;3;блочный;66;49;6;5600
60;Центр;3;блочный;45;29;6;1764
61;Центр;3;блочный;50;35;6;1680
62;Центр;3;блочный;54;38;6;1506,4
63;Центр;3;кирпичный;36;26;10;2016
64;Центр;4;блочный;80;55;14;2240
65;Центр;4;кирпичный;102;70;8;3780
66;Центр;4;блочный;82;52;10;3360
67;Центр;4;блочный;162;86;13;5880
68;Центр;4;кирпичный;115;85;10;3360
69;Центр;4;кирпичный;93;52;11;2324
